prov,poblacionjoven,sabeleer,noTieneRel,agua,alumbrado,etniticidad,gas,sis,acsedu,electores,votoscas,porcentaje
HUAYLAS,0.171270502980481,0.754977208088207,0.0161143665386947,0.931565440547477,0.839625933421732,0.561426550818347,0.373017988007995,0.759652472045818,0.324552377032311,42646,13625,0.4853
HUAYTARA,0.135211920913782,0.798805589377863,0.0111989459815547,0.847326272281064,0.57291504892064,0.609720392329088,0.274730284151345,0.777642488548733,0.282115104419621,18290,6890,0.6745
ICA,0.212914315780333,0.876044329904807,0.0422656040869114,0.714263795276454,0.91040127770014,0.215182075900704,0.765220254646568,0.28335534163093,0.344505521102822,298645,105869,0.4702
ILO,0.18238690404426,0.884901338263071,0.061694689528883,0.861079584146729,0.912513162513162,0.298152155818212,0.93586888001681,0.309367841498212,0.335411471321696,63147,30351,0.6462
ISLAY,0.172637121881847,0.875523696044894,0.0393242609103707,0.879634332148299,0.891116734799818,0.252768653214453,0.858114152800143,0.272418034362148,0.284275972723626,45429,24149,0.7125
JAEN,0.194804564476466,0.800368868372234,0.0310152294986165,0.884310698286553,0.801347206351116,0.101621522668225,0.615817719612089,0.680438112084214,0.341736455306785,158905,72760,0.6998
JAUJA,0.176465642528556,0.844493556097385,0.020917658430496,0.861394721633597,0.889141605593463,0.230683259832055,0.587558787495554,0.535930912716048,0.326347456133726,69503,24646,0.5152
JORGE BASADRE,0.199665831244779,0.887125220458554,0.0500448833034111,0.805586592178771,0.865252854812398,0.329106822262119,0.552714646464647,0.214889074538197,0.265842349304482,8544,5152,0.8258
JULCAN,0.161183271481587,0.772445047102484,0.0525037641459032,0.630921777451341,0.706107730448501,0.00981106416047404,0.391294692427271,0.870432486440194,0.315434964609179,24779,8611,0.5599
JUNIN,0.179397397657027,0.806942463147884,0.0146352118829183,0.938710754843019,0.816053059014618,0.522608125819135,0.711351066631551,0.577659620455626,0.305016844213785,17765,7902,0.6812
LA CONVENCION,0.191820480060891,0.810490118791965,0.0270728740083275,0.924617674922182,0.780570370911571,0.636932197871867,0.498386115918978,0.632845842281241,0.287426300948475,150555,80604,0.8456
LA MAR,0.188852561108516,0.754886558249473,0.0181916864741442,0.848094170403588,0.703047415052089,0.85512155864573,0.396798332859714,0.840204945296024,0.339162358582453,57117,31155,0.852
LA UNION,0.116940827941062,0.747485772199267,0.021557860484035,0.948047858942065,0.784771334276285,0.757270693512304,0.406328249487822,0.739923598659079,0.309810671256454,10910,5300,0.8594
LAMAS,0.170336477717398,0.779296132284933,0.117436119821202,0.872481525926862,0.830665425779432,0.192090866635533,0.497236317506343,0.81537272604605,0.32632907439694,64173,23338,0.5457
LAMBAYEQUE,0.194299896725189,0.808748375920312,0.0206386240317918,0.847557015011547,0.853202340091436,0.152620624238583,0.635823282468182,0.591011760002665,0.334805634845497,229571,72162,0.4312
LAMPA,0.19686214999021,0.811851380458195,0.0113664140796871,0.895718990120746,0.603584745208347,0.946467856269861,0.456964682637688,0.634080673585275,0.2972674224313,35855,26417,0.9138
LAURICOCHA,0.165706128060065,0.832601914027389,0.00975073817207993,0.81474358974359,0.490945674044266,0.540410629677951,0.135835567470956,0.749854597366891,0.33954601090464,17578,8868,0.8565
LEONCIO PRADO,0.204964278168601,0.814528182294805,0.0734409204296696,0.850202629237916,0.764680863991251,0.273206740314616,0.645165831409426,0.598342632225552,0.336928336664079,100653,36550,0.5436
LIMA,0.21266641741421,0.89503606658166,0.0649085934092081,0.924008840965482,0.96012320706142,0.203900571609855,0.780886594872449,0.27232234173538,0.323753644634174,7558581,1938450,0.3427
LORETO,0.159680958406073,0.720502266284415,0.0705873657238593,0.823480890844102,0.647948642266824,0.318862718044742,0.235756957598718,0.795650015215337,0.414380173894934,48852,11058,0.45
LUCANAS,0.150035068578554,0.799388248129676,0.0145834867791117,0.905874548536891,0.758730158730159,0.737742751221428,0.428398458998349,0.70616427680798,0.296713595892504,35663,15932,0.7278
LUYA,0.152714015662976,0.773111891259339,0.0288611077880129,0.854406466918548,0.853335423688955,0.0507835865534155,0.480154522042115,0.822328742461068,0.328086302152791,35017,12606,0.6166
MANU,0.218933635236401,0.807051593077794,0.0795529257067719,0.605747497578302,0.67115804806992,0.704361165899627,0.57362127431733,0.503639010189229,0.304050560183855,12413,5913,0.7909
MARANON,0.1704605213733,0.744497032529487,0.0601605671984152,0.852222222222222,0.549710901142293,0.460223125847148,0.247036637931035,0.824994365562317,0.388842265116093,20200,8579,0.6925
MARISCAL CACERES,0.178442113081422,0.808931389843097,0.0885815185403178,0.91411346932034,0.8629106258029,0.102076851929707,0.641840023439789,0.681521369108408,0.329592643859996,48315,16963,0.5578
MARISCAL LUZURIAGA,0.139962532044962,0.68043778347466,0.00251057082452431,0.833333333333333,0.694987255734919,0.78732822410148,0.0913093102886026,0.871721553934135,0.365390600684718,16100,8383,0.8374
MARISCAL NIETO,0.196311614664495,0.868129679316688,0.049045656263913,0.932861212217123,0.878456661930266,0.435895962889026,0.783313658773696,0.359359805035794,0.338710071907254,72129,42309,0.7858
MARISCAL RAMON CASTILLA,0.164839419628301,0.749062601891099,0.0486366756099083,0.598097502972652,0.60729800173762,0.176639420977101,0.256682464454976,0.743051027062276,0.401007745115297,47277,6172,0.2878
MAYNAS,0.183517898746733,0.833243030345972,0.0342312513702057,0.884267165433304,0.849764750950328,0.0747050193093601,0.642878535462254,0.574097768960502,0.365611836702255,374577,104623,0.4462
MELGAR,0.183026006136614,0.817793202061426,0.0111601736441041,0.898221055701371,0.693259181129543,0.905334153112366,0.53626063571838,0.676293604218178,0.351023904072257,54677,39150,0.9334
MOHO,0.133397458613881,0.783577178150154,0.0652303652423013,0.873965287049399,0.776407266203185,0.965325853425639,0.261135177163168,0.725206297777553,0.228965876530346,21352,13967,0.9469
MORROPON,0.161399026088245,0.791176779178779,0.0112621859427955,0.819349962207105,0.853951584193663,0.143703560589594,0.533802726475057,0.666209952662211,0.313005770923674,131526,38125,0.4249
MOYOBAMBA,0.195153843010665,0.808687124586279,0.150828590467659,0.917999194994328,0.883539362394275,0.0632175746386865,0.654336696949072,0.633065010419646,0.342952188715532,96987,36838,0.573
NASCA,0.195959917289645,0.864438885434591,0.0507597445496587,0.865473263675476,0.859895183428999,0.271085663950672,0.74587081726879,0.391702936795986,0.313436016072081,57819,20001,0.4907
OCROS,0.149595112942179,0.849410427617559,0.0235356574057689,0.848056537102474,0.687328364064339,0.388072907450009,0.249522353840275,0.642704929677511,0.256375838926175,5468,1642,0.4871
OTUZCO,0.165048418997714,0.772803164573219,0.0293845362592148,0.873931116389549,0.846694125298071,0.0774729984570547,0.217732884399551,0.741208805322237,0.294699685170294,68814,22808,0.5253
OXAPAMPA,0.182199611295301,0.796295872870699,0.136823043229271,0.893734056122449,0.679646780099074,0.373725022829637,0.512706429373096,0.632834114553561,0.332438277604977,73315,18793,0.4264
OYON,0.171599300975252,0.845707198827442,0.0253173687247548,0.930697785186949,0.934027777777778,0.345427005193306,0.587002992731937,0.327977901798298,0.29153605015674,12601,4419,0.5536
PACASMAYO,0.174737844640757,0.847575731070877,0.0695607017890924,0.736952319587629,0.92505216991476,0.114628024579928,0.851455552158701,0.474707717426164,0.311370327962706,79705,23759,0.4273
PACHITEA,0.189853333062105,0.689029475782664,0.0105088035491474,0.852153667054715,0.575568267349089,0.690225980867878,0.345350500715308,0.838707052625155,0.337935668458471,41193,20480,0.8176
PADRE ABAD,0.19224050443376,0.787878283727353,0.116094555807061,0.794787297783104,0.758296681327469,0.228688773248081,0.642514855280813,0.632854742376096,0.333570716422162,49879,23023,0.6912
PAITA,0.197048317063407,0.827248791303545,0.024658416047178,0.734135753749014,0.884407162829437,0.127143984384734,0.779633913018647,0.461621962861454,0.340753874441818,90955,28079,0.4181
PALLASCA,0.135583840619812,0.776425013835086,0.0247439291057659,0.876618571957085,0.813739266198283,0.0457474968350788,0.117733411626541,0.817589715210081,0.347311586051744,17769,7451,0.7301
PALPA,0.17147823458283,0.851798669891173,0.0235260226618014,0.579179289451942,0.837615123606398,0.163913961974265,0.644439208294062,0.540659008464329,0.309992069785884,11991,4385,0.5015
PARINACOCHAS,0.168335803897466,0.797931957048339,0.0205927368860442,0.772665354926593,0.851260936695831,0.707898520476787,0.575724505880926,0.708810875302795,0.333497145881375,18008,8985,0.8185
PARURO,0.137208119841984,0.722298275120272,0.0115079365079365,0.857203389830509,0.728655116539948,0.903869047619048,0.308414634146341,0.865255994054836,0.318746424777315,24396,14739,0.9211
PASCO,0.211722147705564,0.850091452261919,0.0212355413707146,0.531774674407657,0.866062337832956,0.409190942561824,0.771104628432228,0.405381457545828,0.351349501103904,103357,51093,0.756
PATAZ,0.185406619975559,0.753202896075056,0.0460999313559016,0.793233082706767,0.707631205673759,0.106344159832364,0.318690053521276,0.620527443070575,0.357004844445689,52983,17526,0.5793
