prov,Ag,AgN,Luz,LuzN,Ln,LnN,gas,sis,acsedu,poblacion,sabe leer,no sabe,no tiene rel,si tiene rel,electores,votoscas
TAHUAMANU,1556,390,2458,520,1627,6721,2145,5599,7387,2180,9223,1193,446,7902,7981,3328
TALARA,8579,24007,33366,3221,13280,98043,33251,51551,93725,26427,125260,11511,2854,108469,107029,32122
TAMBOPATA,23662,1234,26880,4031,33786,49680,25588,52966,67061,24818,93728,11332,6332,77134,96119,48146
TARATA,1359,221,1619,667,2494,2760,633,3900,4558,1113,5239,665,256,4998,6308,3989
TARMA,18012,2435,22736,2244,19349,52138,20843,47186,60192,15932,75147,10192,1183,70304,73433,26099
TAYACAJA,16945,2766,19820,4452,49510,13185,6667,69662,50756,14064,61189,16094,444,62251,72692,39343
TOCACHE,9987,2200,15077,3023,7309,45005,12041,41980,45262,13489,56296,9183,7133,45181,56829,25301
TRUJILLO,175831,32162,216762,11898,85430,686773,228445,306132,612235,210184,842936,79945,59839,712364,790766,189118
TUMBES,24594,11105,37939,3652,15594,103751,38232,87665,95269,29142,132389,14417,4049,115296,117309,31485
UCAYALI,3275,1869,6898,5058,4667,31564,3781,40367,28659,8218,43072,7717,1723,34508,44525,13163
URUBAMBA,11712,2546,13231,2253,39763,8243,9165,32295,38628,12467,49122,8590,1073,46933,54574,35261
UTCUBAMBA,13962,10818,24395,5808,6592,74380,16078,80664,66932,19653,84202,17064,4958,76014,86231,36540
VICTOR FAJARDO,5518,901,5652,1560,14476,1682,2561,15241,13637,2762,15108,4202,169,15989,16777,8745
VILCAS HUAMAN,4222,1014,4679,1450,12726,850,1528,14369,11486,2189,12302,3834,220,13356,15873,8199
VIRU,11565,6517,18809,3063,11436,56357,16469,30972,59415,20762,73791,12546,8354,59439,68712,27807
YAROWILCA,3129,479,3441,2951,13693,1574,638,18033,11790,2920,14803,4153,48,15219,24572,12590
YAULI,8301,1087,9146,1086,7596,25581,9086,8501,27791,7658,35993,2744,853,32324,29839,12994
YAUYOS,4331,491,5756,965,3847,13012,2657,11826,14720,2909,17912,1825,336,16523,21280,7645
YUNGAY,11369,856,11409,2869,24159,15339,4790,40007,33013,8951,36371,11932,284,39214,43850,19705
YUNGUYO,9346,2320,11455,2620,28700,2510,7660,19377,27056,5934,28404,7281,484,30726,30608,19071
ZARUMILLA,6140,4707,11935,1753,5520,30350,12107,32122,29848,9672,40250,5457,1791,34079,35121,6820
